"","trait","env","gen","predicted.value"
"659","GY","E04","G60",2611.61008649455
"660","GY","E04","G64",1317.78674555277
"661","GY","E05","G02",383.5622123981
"662","GY","E05","G05",444.150450772086
"663","GY","E05","G09",459.15743364462
"664","GY","E05","G11",2329.46151309041
"665","GY","E05","G14",1240.70962143235
"666","GY","E05","G17",624.201980429853
"667","GY","E05","G21",460.96449072621
"668","GY","E05","G22",508.018421540683
"669","GY","E05","G23",1295.22251006032
"670","GY","E05","G24",678.112516697292
"671","GY","E05","G26",1471.41057551536
"672","GY","E05","G28",805.510040949396
"673","GY","E05","G29",1879.2031235942
"674","GY","E05","G30",966.940473571448
"675","GY","E05","G39",1803.60790234768
"676","GY","E05","G40",1491.58937959312
"677","GY","E05","G41",958.206364343763
"678","GY","E05","G42",1408.46475383997
"679","GY","E05","G43",1171.74027615166
"680","GY","E05","G44",1054.58274202857
"681","GY","E05","G45",1463.57999482847
"682","GY","E05","G46",1276.24841070363
"683","GY","E05","G47",1263.5990111325
"684","GY","E05","G48",1755.41971350528
"685","GY","E05","G54",1305.46250018933
"686","GY","E05","G55",833.820601894308
"687","GY","E05","G57",1124.15443966979
"688","GY","E05","G59",857.613520135245
"689","GY","E05","G60",760.333613909643
"690","GY","E05","G64",569.086739441354
"691","GY","E06","G02",1596.20692259162
"692","GY","E06","G05",670.222472866883
"693","GY","E06","G09",1721.14133247512
"694","GY","E06","G11",1752.11246769833
"695","GY","E06","G14",1249.75015568781
"696","GY","E06","G17",838.201511365701
"697","GY","E06","G21",557.361556375489
"698","GY","E06","G22",554.736883898945
"699","GY","E06","G23",678.621424791824
"700","GY","E06","G24",617.729023336002
"701","GY","E06","G26",1327.96539548882
"702","GY","E06","G28",907.492864746464
