env;gen;rep;NDM;PH;GY
E04;G38;1;110;38;1300
E04;G38;2;110;35;1500
E04;G38;3;110;36;950
E08;G38;1;113;32;1576
E08;G38;2;110;31;1914
E08;G38;3;127;32;492
E09;G38;1;114;42;3360
E09;G38;2;114;44;3386
E09;G38;3;114;47;3424
E10;G38;1;125;38;420
E10;G38;2;125;49;860
E10;G38;3;125;52;730
E11;G38;1;103;45;2368
E11;G38;2;103;62;1828
E11;G38;3;103;61;1960
E12;G38;1;98;75;600
E12;G38;2;98;75;436
E12;G38;3;95;75;214
E13;G38;1;185;108;1537
E13;G38;2;187;107;1363
E13;G38;3;187;95;1524
E14;G38;1;112;57;1403
E14;G38;2;113;60;1310
E14;G38;3;113;65;1858
E01;G39;1;112;66;3000
E01;G39;2;112;70;3400
E01;G39;3;112;59;3200
E02;G39;1;178;104;3423
E02;G39;2;179;101;3143
E02;G39;3;180;102;3006
E03;G39;1;128;42;1500
E03;G39;2;130;46;1602
E03;G39;3;126;49;2520
E04;G39;1;110;66;1920
E04;G39;2;110;62;2000
E04;G39;3;110;59;2000
E05;G39;1;NA;100;1961
E05;G39;2;194;107;1666
E05;G39;3;183;106;2013
E06;G39;1;104;52;1060
E06;G39;2;104;55;716
E06;G39;3;104;53;1344
E07;G39;1;111;50;3930
E07;G39;2;111;49;1660
E07;G39;3;119;51;3204
E01;G40;1;113;66;3400
E01;G40;2;113;61;3000
E01;G40;3;113;68;3200
E02;G40;1;184;96;2212
E02;G40;2;184;116;2222
E02;G40;3;181;109;1977
E03;G40;1;130;51;2238
E03;G40;2;130;60;2550
E03;G40;3;130;50;2370
E04;G40;1;108;66;2000
E04;G40;2;108;61;2000
E04;G40;3;108;60;1880
E05;G40;1;194;105;1205
E05;G40;2;199;106;1676
E05;G40;3;191;98;1723
E06;G40;1;111;63;1488
E06;G40;2;114;58;1440
E06;G40;3;111;54;1502
E07;G40;1;112;52;3392
E07;G40;2;112;52;3166
E07;G40;3;119;53;3110
E08;G40;1;113;35;594
E08;G40;2;127;36;1286
E08;G40;3;118;31;896
E09;G40;1;102;48;3444
E09;G40;2;103;47;3272
E09;G40;3;104;45;3320
E10;G40;1;125;40;620
E10;G40;2;125;44;840
E10;G40;3;125;43;630
E11;G40;1;109;60;1322
E11;G40;2;109;60;726
E11;G40;3;109;64;724
E12;G40;1;95;60;900
E12;G40;2;95;59;550
E12;G40;3;97;59;250
E13;G40;1;178;105;1900
E13;G40;2;174;96;2467
E13;G40;3;176;86;2732
E14;G40;1;104;57;1528
E14;G40;2;103;58;1778
E14;G40;3;103;56;1916
E01;G41;1;115;66;1800
E01;G41;2;115;84;NA
E01;G41;3;115;72;2800
E02;G41;1;173;119;2502
E02;G41;2;175;128;2956
E02;G41;3;191;97;2766
